  526 10 PARAIBUH   2       22.00 14.00 50.00
  532 10 EMBU--SI   1       37.60 24.30 250.0
  533 10 SANGELSI   1       37.60 24.30 250.0
(
  750 10 C.DO11UH   2       36.21 24.65 17.00
(
  751 10 C.DO13UH   2       32.76 23.92 52.00
(
  752 10 C.DOU1UH   1       24.84 15.66 54.00
(
  753 10 C.D13NUH   3       31.07 22.68 84.00
(
  754 10 C.D13KUH   2       37.00 27.00 100.0
  800 10 GBMUNHUH   4       30.25 24.22 419.0
  801 10 GBMUNHSI           30.25 24.22 419.0
  804 10 GPSOUZUH   4       25.00 17.50 73.60
  805 10 GPSOUZSI           25.00 17.50 73.60
  808 10 GJRICHUH   3       24.51 19.86 333.0
  809 10 GJRICHSI   1       24.51 19.86 333.0
  810 10 GNBRAGUH   3       24.51 19.86 333.0
  811 10 GNBRAGSI           24.51 19.86 333.0
  802 10 ARAUCGUT           19.00 15.00 200.0
  803 10 ARAUCVUT     .0760 19.90 15.30 198.0
  806 10 SCLARAUH   1       32.00 22.00 66.76
 2475 10 FUNDAOUH   1       32.00 22.00 66.76
(  900 10 ALEGREUT   2       25.00 19.02 41.25
(  901 10 CFCHARUT   2       42.00 21.49 35.00
  904 10 ITA---UH   3 .4200 31.00 24.00 305.0
  905 10 ITA---SI   1 .4200 31.00 24.00 305.0
  907 10 JLA12AUT   1       15.70 9.400 58.00
  909 10 JLA34AUT   1       23.00 16.00 75.00
  911 10 JLA56BUT   2       24.00 22.50 156.2
  913 10 JLA7C-UT   1       28.40 22.00 411.8
  915 10 MACHADUH   2       32.00 26.00 418.5
  916 10 MACHADSI   1       32.00 26.00 418.5
  917 10 PFUNDOUH   1       29.00 23.00 130.0
  918 10 PFUNDOSI   1       29.00 23.00 130.0
  919 10 SOSO14UH   3       33.20 24.90 200.0
  920 10 SOSO14SI   1       33.20 24.90 200.0
  921 10 SOSO56UH   2       36.96 30.89 194.5
  922 10 SOSO56SI           36.96 30.89 194.5
(
  925 10 SSANTIUH   2       31.65 23.21 369.8
(
  925 20 SSANTIUH   2       31.00 23.10 373.7
(
  926 10 SSANTISI   2       31.65 23.21 369.8
(
  926 20 SSANTISI   2       31.00 23.10 373.7
(  927 10 WARJO1UT   1       22.00 16.00 63.25
(  928 10 WARJO2UT   1       22.00 16.00 63.25
(  929 10 WARJO3UT   1       23.00 16.00 46.25
(  923 10 WARJO4UT   1       23.00 16.00 46.25
(  924 10 WARJO5UT   1       22.00 16.00 63.25
  931 10 ALZANTUH   2       30.00 22.00 41.12
 2863 10 SPILAOUH   2       32.00 26.00 101.3
(
 3964 10 CBRAV-UH   3       29.00 21.00 163.4
 3968 10 SSALV-UH   2  .372 34.00 26.00 135.1
 1100 10 IPU-50UH  10       32.90 25.80 823.6
 1107 10 IPU-60UH  10       31.70 25.20 737.0
 1155 10 ITAUBAUH   2       30.59 24.20 139.0
 1156 10 ITAUBASI   1       30.59 24.20 139.0
 1162 10 JACUI-UH   4       48.62 30.67 30.00
 1164 10 URUG-GUT   1       32.76 26.00 208.5
 1165 10 URUG-VUT   1       36.96 26.92 294.0
( 1170 10 PMED-AUT   2       15.27 11.45 63.00
( 1172 10 PMED-BUT   1       20.38 15.71 160.0
 1175 10 PREAL-UH   1       34.79 30.28 84.00
 1176 10 DFRANCUH   1   .54 24.10 16.60 70.00
 1177 10 DFRANCSI   1   .54 24.10 16.60 70.00
 9220 10 SJOSE-UH   2       37.00 20.00 28.33
 9218 10 PSJOAOUH   2       35.00 26.50 44.10
  983 10 MAUA--UH   3       26.70 19.10 130.4
  984 10 MAUA--PC   2       31.00 20.40 6.143
 9735 10 GARIBAUH   3  .412 27.25 18.99 74.00
 9824 10 MARME2SI   2       25.00 19.00 100.0
 9986 10 KLACELUT   1       29.40 21.00 206.3
 9986 20 KLACELUT   1       29.40 21.00 206.3
 2600 10 MASCA-UH   2       32.00 34.50 55.00
 2600 20 MASCA-UH   2       49.00 41.00 55.00
 2601 10 SUICA-UH   2       20.00 11.00 17.55
 2602 10 R.BOT-UH   3       19.00 13.00  6.22
 5006 10 PAFO1GUH   1 2.056 20.40 20.00 61.20
 5009 10 PAF2G1UH     .6250 28.45 24.25 69.52
 5010 10 PAF2G2UH   1 .6250 28.45 24.25 69.52
 5011 10 PAF2G3UH     .6250 28.45 24.25 69.52
 5012 10 PAF2G4UH     .7000 28.00 21.00 80.00
 5013 10 PAF2G5UH     .7000 28.00 21.00 80.00
 5014 10 PAF2G6UH     .7000 28.00 21.00 80.00
 5015 10 PAF3G1UH   1 .3690 24.81 17.39 209.0
 5016 10 PAF3G2UH     .3690 24.81 17.39 209.0
(
(
 5022 10 PAFO-4UH   4 .2000 25.99 23.26 456.0
(
(
 5030 10 ASALG1UH   1 .3000 22.50 15.50 122.0
 5032 10 ASALG3UH   1 .3000 22.50 15.50 122.0
(
(
(
(
(
 5051 10 LGONG1UH   2 .2000 29.00 26.00 274.0
 5054 10 LGONG4UH   2 .2000 33.00 26.00 274.0
(
(
(
(
(
 5061 10 XINGO-UH   4 .1900 36.00 29.00 520.0
(
(
 5145 10 RCDSIESI   1       20.00 16.00 150.0
 5147 10 RCDALSSI   1       27.00 17.00 150.0
 5509 10 TERESISI   1       20.00 16.00 150.0
 5520 10 UBE1--UH   2 .4000 24.00 14.50 52.20
 5522 10 UBE2--UH   2 .4000 30.00 22.00 67.00
 5523 10 BOAESPSI   2 .4000 30.00 22.00 67.00
( 5770 10 CAMACAUT           24.00 19.00 80.00
( 5771 10 CMDBP2SI           24.00 19.00 80.00
 5778 10 CMDBP1SI   2       27.00 17.00 150.0
(
(
 6294 10 SOBRADUH   3 .2000 32.00 23.00 194.5
(
(
 6295 10 SOBRADSI     .2000 32.00 23.00 194.5
 6350 10 BJLAPASI   1       40.00 20.00 30.00
 6347 10 IRECE-SI   1       30.00 21.40 30.00
 5586 10 PDUTR1SI   1       31.00 17.00 100.0
44074 10 PDUTR2SI   1       31.00 17.00 100.0
 5596 10 IMPER1SI   1       31.00 19.00 100.0
44075 10 IMPER2SI   1       31.00 19.00 100.0
44077 10 IMPER3SI   1       31.00 19.00 100.0
 6405 10 MARABASI   1       33.00 19.00 150.0
 6419 10 TUCUR1UH   5 .3327 25.00 17.00 350.0
 6420 10 TUCUR2UH   3 .2938 25.00 19.00 350.0
 6421 10 TUCUR2SI     .2938 25.00 19.00 350.0
 6422 10 TUCUR3UH   4  .397 25.00 16.00 350.0
 6423 10 TUCUR3SI      .397 25.00 16.00 350.0
 6424 10 TUCUR5UH   8 .2918 30.00 20.00 390.0
 6425 10 TUCUR6UH   3 .3039 30.00 20.00 390.0
 6411 10 GA1TUCUH   1 .4726 20.76 14.53  25.0
 6412 10 GA2TUCUH   1 .4726 20.76 14.53  25.0
 6465 10 VCONDESI   2       33.00 19.00 150.0
(
99751 10 CRU-G1UH   1 .4726 35.00 29.00  12.5
99752 10 CRU-G2UH   1 .4726 35.00 29.00  12.5
99753 10 CRU-G3UH   1  .661 32.00 25.00 10.84
 4596 10 CBA-G-UT           19.50 14.40 186.0
 4597 10 CBA-V-UT           22.60 16.70 216.0
 4846 10 JUBA--UH   4       26.70 20.00 12.60
 4831 10 JUBA2-UH   4       26.70 20.00 12.60
 4809 10 JAURU-UH   3       27.00 23.00 45.00
 4804 10 GUAPO-UH   3       32.00 18.00 46.00
 7206 10 LAJEADUH   4       35.00 28.00 190.0
 3974 10 ELTB-GUT     .4000 31.00 19.80 60.00
 3977 10 MERCHAUT           20.80 13.70 53.25
 3978 10 MERCH-UT     .5300 24.50 18.10 71.18
(
 5466 10 UJSP--UT      .27  22.50 17.00 204.4
 4203 10 TRG11-UT   1 .0912 20.00 15.00 145.0
44324 10 TRG12-UT   1 .0912 20.00 15.00 145.0
 4204 10 TRV18-UT   1 .0854 21.00 16.00 208.0
 4206 10 TRG21-UT   1 .0912 20.00 15.00 145.0
44325 10 TRG22-UT   1 .0912 20.00 15.00 145.0
 4205 10 TRV28-UT   1 .0912 20.00 15.00 145.0
 4207 10 TRG31-UT   1 .0912 20.00 15.00 145.0
44326 10 TRG32-UT   1 .0912 20.00 15.00 145.0
 4208 10 TRV38-UT   1 .0912 20.00 15.00 145.0
 3962 10 NFLU-GUT   2 .1800 32.27 24.95 223.0
 3963 10 NFLU-VUT   1 .1700 29.06 22.25 343.0
 5975 10 ITAPEBUH   3 .3170 30.00 22.00 160.0
 4523 10 ITIQ-1UH   2       34.00 22.00 33.80
 4525 10 ITIQ-2UH   2       33.00 22.00 52.90
 5827 10 CFURTAUT     .0775 22.30 16.90 300.0
 9500 10 SIMPL-UH   3       33.00 25.00 113.3
  614 10 PIRAJUUH   2       43.00 35.00 45.00
 1152 10 STIA-GUT     .3000 26.50 19.50 234.0
 1169 10 STIA-VUT           25.80 17.50 104.0
 1585 10 IBIR-GUT     .3000 26.42 19.64 234.0
 1586 10 IBIRITUT           24.00 20.00 99.00
 4300 10 TLGA-GUT           20.60 15.30 90.00
 3524 10 TLGA-VUT           31.10 21.90 75.00
 4301 10 TLGB-GUT           20.60 15.30 90.00
 3525 10 TLGB-VUT           31.10 21.90 75.00
 9100 10 ROCH-GUT           26.00 19.50 234.0
 9101 10 ROCH-VUT           20.60 15.30  90.0
( 5372 10 RNEST-PE     .0945 26.55 20.80  62.5
 5660 10 TERMOCUT           24.50 18.10 71.18
(
 5654 10 T.FTZGUT           18.30 13.80 131.6
 5655 10 T.FTZVUT           27.00 20.00 144.6
 2836 10 QQUEIXUH   2 .1775 27.00 23.00 45.00
 5151 10 TERPEGUT     .1617 23.50 17.80 211.7
 5154 10 TERPEVUT     .1384 24.70 19.40 284.6
 1150 10 BGRANDUH   2       30.00 20.00 245.0
 1151 10 BGRANDSI   1       30.00 20.00 245.0
 5888 10 P.CAVAUH   1       32.00 28.00 90.00
 2031 10 OURIN-UH   3       35.00 27.00 16.45
 4016 10 PICADAUH   2       29.00 25.00 27.80
 4520 10 P.PEDRUH   3       26.00 17.00 61.80
 1159 10 MCLAROUH   1       38.00 28.00 72.61
 1166 10 CALVESUH   2       39.00 27.00 48.46
 1168 10 14JUL-UH   1       35.00 26.00 55.95
 4100 10 JFORA1UT           31.00 19.80 60.00
 4180 10 JFORA-UT           31.00 19.80 60.00
 1511 10 S.CLARUH   3       28.00 22.00 21.00
 1559 10 CANDONUH   3       29.60 23.30 52.00
 7110 10 PEIXEAUH   3       35.00 31.00 175.0
 4052 10 AMADO1UH   3       33.00 29.00 85.50
 4054 10 AMADO2UH   3       27.80 24.00 74.20
 1157 10 CNOVOSUH   2       30.00 20.00 311.0
 1158 10 CNOVOSSI           30.00 20.00 311.0
 3641 10 CORUM4UH   2       31.00 26.00 68.00
 3744 10 ESPORAUH   3       26.00 18.00 11.85
 8904 10 CST1-2UT           24.28 15.69 72.00
 8904 20 CST1-2UT           24.28 15.69 72.00
 8905 10 CST3-4UT           22.00 16.00 80.00
 8905 20 CST3-4UT           26.98 17.43 80.00
 8906 10 SOL.--UT       .11 25.00 18.00 115.6
 8907 10 CSTTRTUT           22.50 21.00 28.86
( 5978 10 VERACEUT       .08 20.50 15.80 137.7
 6912 10 T.N2-GUT     .1305  33.0  22.9 115.6
 6913 10 T.N2-VUT     .4000  27.0  21.0 140.0
 6891 10 SAMU1-UH            29.0  22.0  51.0
 6831 10 ROND2-UH            28.1  24.5 27.23
 5188 10 TMANAUUT     .1384  24.7  18.0 178.3
 5187 10 PFERROUT     .1384  24.7  18.0 117.6
 5240 10 POT1--UT           22.15 14.95 31.14
 5242 10 POT3--UT           22.15 14.95 29.06
 5764 10 MURICIUT            37.0  26.0 23.13
 5762 10 AREMBEUT       .79  35.7  25.8 3.125
 5557 10 TOC.I1UT            39.4  20.0 10.91
 5558 10 TOC.I2UT            39.4  20.0 10.91
 6447 10 NOLI1-UT            39.4  20.0 10.91
 6448 10 NOLI2-UT            39.4  20.0 10.91
 5820 10 GLOBA1UT  60        24.4  17.6  3.10
 5823 10 GLOBA2UT  60        24.4  17.6  3.10
 5609 10 PITAQUUT      .265 42.12 31.78 435.0
 5658 10 PPECEMUT      .265 42.12 31.78 435.0
 5659 10 PPD---UT      .265 42.12 31.78 435.0
 5178 10 PEIII-UT  23        34.0  24.9 11.03
 5647 10 MARIV-UT   2   .26  23.5  17.5 208.0
 5648 10 MARV--UT   2   .26  23.5  17.5 208.0
 5650 10 NVNC2-UT   1   .26  23.5  17.5 208.0
 6021 10 SUP1--UT   3  .003  37.7  22.3 28.03
 6022 10 SUP2--UT   3  .003  37.7  22.3 28.03
 6023 10 SUP3--UT   3  .003  37.7  22.3 28.03
 6024 10 SUP4--UT   3  .003  37.7  22.3 28.03
 6025 10 SUP5--UT   3  .003  37.7  22.3 28.03
 6026 10 SUP6--UT   2  .003  37.7  22.3 28.03
 6314 10 PET---UT   8        37.0  26.0  17.8
 5134 10 TCB---UT   3        34.9  23.5 21.35
 5220 10 CGRAN-UT  20        32.6  23.8 10.57
 5218 10 UTEPB-UT  20   .67  25.0  14.4 10.68
 5219 10 UTENE-UT  20   .67  25.0  14.4 10.68
 5460 10 MRU---UT   8        37.7  22.3 28.03
 5642 10 MAR3-GUT   3        38.1  21.1 23.44
 5646 10 MAR3-VUT   2   .26  23.5  17.5 208.0
 5815 10 PARNIVUT   1        25.0  19.0 224.0
 9627 10 BFLUMGUT   2  0.27  24.0  18.0 214.0
 9628 10 BFLUMVUT   1  0.29  26.0  19.5 230.0
 4068 10 R.BAIXUH            35.0  22.0 46.11
 9600 10 CSA-G-UT       .25  22.2  16.7 160.0
 9615 10 CSA-G2UT       .25  22.2  16.7 160.0
 9603 10 CSA-V-UT       .26  25.8  19.9 387.5
 8910 10 VIANA1UT  10        43.0  27.0 10.91
 8911 10 VIANA2UT  10        43.0  27.0 10.91
 9026 10 LINH--UT  24 .0366  32.6  26.2 10.55
 1873 10 CAARAPBI   2 .1780  24.0  18.0  47.5
 1875 10 SFERNABI   2 .1780  38.0  29.0  60.0
 1888 10 LDCBRIBI   1 .1780  29.0  23.0  50.0
 1888 20 LDCBRIBI   1 .1830  28.0  21.0  62.5
 9682 10 AMANDIBI   3        39.0  32.0  50.0
 9561 10 ELDORABI   1        32.4  24.5  15.0
 9561 20 ELDORABI   1        35.0  27.0  15.0
 9561 30 ELDORABI   2        38.0  30.0  62.5
 1874 10 VALEGRBI   1        30.0  24.0  37.5
 1874 20 VALEGRBI   1        34.0  23.0 35.44
 1874 30 VALEGRBI   1        35.0  24.0 36.56
 4890 10 DARDA1UH   4        39.0  30.0 64.80
 4891 10 DARDA2UH   1        28.0  22.0 32.48
 5595 10 ESTREIUH   8        35.3  30.1 151.8
 1173 10 CANDI3UT   1       22.66  18.7 412.0
 1070 10 FCHAPEUH   4        30.0  22.0 225.0
 1073 10 FCHAPESI   3        30.0  22.0 225.0
 9451 10 CACUI-UT   2       39.00 30.00 62.50
 9451 20 CACUI-UT   1       30.00 24.00 37.50
 9452 10 QUIRI-UT   2       26.50 19.90 62.50
 9453 10 BVISTAUT   2       29.00 23.00 50.00
 9448 10 CACU--UH   2       38.00 20.00 36.11
 9442 10 SALTO-UH   2       30.92 24.40 67.50
 9449 10 BCOQUEUH   2       38.00 20.00 50.00
 9443 10 S.R.V-UH   2 .0032 30.09 23.18 47.45
 9447 10 FRCLARUH   2       39.32 28.18 38.00
 3014 10 SERRA-UH   2       38.00 33.00 118.1
(....... UHE Santo Antonio - Margem Direita - CF1
(     -> 08 UG - 5 pas
(     -> Grupo 10 - RT Andritz / RV Voith
(     -> Grupo 20 - RT Alstom  / RV Alstom
( Nb) Gp ( Nome ) Uni (Ra ) (X'd) (X"d) (MVA) 
 7050 10 SA-MD-UH   4 0.041 31.0  29.0  82.25
 7050 20 SA-MD-UH   4 0.041 31.0  29.0  82.25 
(....... UHE Santo Antonio - Margem Esquerda - CF2 e CF3
(     -> 16 UG - 4 pas / 08 UG - 5 pas
(     -> Potencia media das pas (4 pas=73.3MW / 5 pas=69.5MW)
(     -> Grupo 10 - RT Andritz / RV Voith
(     -> Grupo 20 - RT Alstom  / RV Alstom
 7064 10 SA-ME-UH  12 0.041 31.0  29.0  82.25 
 7064 20 SA-ME-UH  12 0.041 31.0  29.0  82.25 
(....... UHE Santo Antonio - Leito do Rio - CF4
(     -> 08 UG - 4 pas / 04 UG - 5 pas
(     -> Potencia media das pas (4 pas=73.3MW / 5 pas=69.5MW)
(     -> Grupo 10 - RT Andritz / RV Voith
(     -> Grupo 20 - RT Alstom  / RV Alstom
 7062 10 SA-LR-UH   8 0.041 31.0  29.0  82.25 
 7062 20 SA-LR-UH   4 0.041 31.0  29.0  82.25 
(....... UHE Santo Antonio - Adicionais - TRUG4547 - UG45 a UG47
(     -> Grupo 10 - RT Andritz / RV Voith
(     -> Quando utilizar UG45 a UG47 desagrupadas utilizar barra 6888 grupo 10, 20 e 30 abaixo
 6888 10 SA-AD1UH   3 0.041 31.0  29.0  82.25 
(....... UHE Santo Antonio - Adicionais - TRUG4850 - UG48 a UG50
(     -> Grupo 10 - RT Alstom / RV Alstom
(     -> Quando utilizar UG48 a UG50 desagrupadas utilizar barra 6892 grupo 10, 20 e 30 abaixo
 6892 10 SA-AD2UH   3 0.041 31.0  29.0  82.25 
((....... UHE Santo Antonio - Adicionais
((     -> Grupo 10 - UG45 - RT Andritz / RV Voith
((     -> Grupo 20 - UG46 - RT Andritz / RV Voith
((     -> Grupo 30 - UG47 - RT Andritz / RV Alstom
((     -> Quando utilizar UG45 a UG47 agrupadas utilizar barra 6888 grupo 10 acima
( 6888 10 SA-AD1UH   1 0.041 31.0  29.0  82.25 
( 6888 20 SA-AD1UH   1 0.041 31.0  29.0  82.25 
( 6888 30 SA-AD1UH   1 0.041 31.0  29.0  82.25 
((....... UHE Santo Antonio - Adicionais
((     -> Grupo 10 - UG48 - RT Andritz / RV Voith
((     -> Grupo 20 - UG49 - RT Alstom  / RV Voith
((     -> Grupo 30 - UG50 - RT Alstom  / RV Alstom
((     -> Quando utilizar UG48 a UG50 agrupadas utilizar barra 6892 grupo 10 acima
( 6892 10 SA-AD2UH   1 0.041 31.0  29.0  82.25 
( 6892 20 SA-AD2UH   1 0.041 31.0  29.0  82.25 
( 6892 30 SA-AD2UH   1 0.041 31.0  29.0  82.25 
(
 7051 10 JIR-MDUH  28   0.6  34.8  30.0 83.33
 7061 10 JIR-MEUH  22 0.489  30.8  24.0 83.33
 5698 10 SUZAN-UT   2        32.7  21.8 149.9
 8224 10 CNUNE1UH   2 .5737  45.1 30.36  25.3
 8225 10 CNUNE2UH   1 .4943  29.0 20.00  30.4
( 8235 10 SANT1-UT   4 .3708 43.88 31.34 18.58
( 8236 10 SANT2-UT   3 .1378 18.64 13.29 25.24
 8269 10 SA.JARUH   3        27.0  21.0 137.4
 8279 10 FGOMESUH   3        35.0  31.0 93.33
 8597 10 BALBEQUH   5 .5537  22.0  18.0  55.5
(
 8612 10 PIEJR2UT  11        23.7  17.0  4.45
 8616 10 PIEJR1UT  12        23.7  17.0  4.45
(
( 8612 20 PIEJR2UT   2        35.2  23.7 23.04
( 8616 20 PIEJR1UT   1        29.5  19.7 9.321
( 8616 30 PIEJR1UT   2        35.2  23.7 23.04
(
 8615 10 PIETB1UT  12        23.7  17.0  4.45
 8617 10 PIETB2UT  11        23.7  17.0  4.45
(
( 8615 20 PIETB1UT   1        29.5  19.7 9.321
( 8615 30 PIETB1UT   2        35.2  23.7 23.04
( 8617 20 PIETB2UT   1        35.2  23.7 23.04
( 8617 30 PIETB2UT   1        35.2  23.7 21.95
(
 8609 10 PIE-MAUT   5 .3598  34.6  19.2 21.35
 8610 10 PIEGERUT   5 .3598  38.0  21.1 21.35
 8611 10 CROCHAUT   5 .3598  38.0  21.1 21.35
 8646 10 APARE1UT   2 .1378  25.0  16.2 58.59
 8653 10 APARE2UT   2 .1271  27.0  17.0 71.18
( 8595 10 MAUABLUT   2 .0780  18.6  12.4  75.0
( 8592 10 MUBL4DUT   6  .297  41.2  24.9 20.79
( 8594 10 MUBL4MUT   4  .297  41.2  24.9 20.79
 8535 10 MAUAG1UT   2  .193 23.34 17.66  223.
 8538 10 MAUAG2UT   1  .201 23.10 17.90  249.
 4462 10 COLID-UH   3       38.82 29.83 111.1
 4492 10 TPIRESUH   5  .226 38.00 32.00 404.5
 6555 10 PMTBL1UH   2   .59  40.0  34.0  40.9
 6556 10 PMTBL2UH   2   .59  40.0  34.0  40.9
 6559 10 PMTBL3UH   2   .59  40.0  34.0  40.9
